"","price","type.residential","no.beds","size.sq.meter","apart.area.name","area.name","category"
"69",380000,"Apartment","2 ",1156," The Address Jumeirah Resort and Spa"," Jumeirah Beach Residence","Premium"
"70",270000,"Apartment","2 ",1550," Shoreline Apartments"," Palm Jumeirah","Premium"
"71",5e+05,"Apartment","3 ",2184,"The Address The BLVD"," Downtown Dubai","Premium"
"72",85000,"Apartment","2 ",969," Lake Almas West"," Jumeirah Lake Towers","Premium"
"73",85000,"Apartment","studio ",549," Palm Views"," Palm Jumeirah","Premium"
"74",130000,"Apartment","1 ",794," La Mer"," Jumeirah","Premium"
"75",330000,"Apartment","3 ",1980," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"76",120000,"Apartment","1 ",688,"Damac Heights"," Dubai Marina","Premium"
"77",88000,"Apartment","2 ",1553," District 11"," Mohammed Bin Rashid City","Premium"
"78",320000,"Apartment","3 ",1838," The Residences"," Downtown Dubai","Premium"
"79",72000,"Apartment","3 ",1419," Elite Sports Residence"," Dubai Sports City","Premium"
"80",64900,"Apartment","1 ",613," Sobha Hartland"," Mohammed Bin Rashid City","Premium"
"81",35000,"Apartment","1 ",655," Seasons Community"," Jumeirah Village Circle","Premium"
"82",145000,"Apartment","3 ",1882," Murjan"," Jumeirah Beach Residence","Premium"
"83",85000,"Apartment","2 ",1258,"Bloom Heights"," Jumeirah Village Circle","Premium"
"84",170000,"Apartment","2 ",2045," Marina Residences"," Palm Jumeirah","Premium"
"85",38000,"Apartment","studio ",471,"Park View Tower"," Jumeirah Village Circle","Premium"
"86",55000,"Apartment","1 ",476,"Collective 2.0"," Dubai Hills Estate","Premium"
"87",75000,"Apartment","1 ",836,"Wilton Terraces 1"," Mohammed Bin Rashid City","Premium"
"88",280000,"Apartment","3 ",4000," Silverene"," Dubai Marina","Premium"
"89",55000,"Apartment","1 ",485,"Collective"," Dubai Hills Estate","Premium"
"90",68000,"Apartment","2 ",910,"Azizi Plaza"," Al Furjan","Premium"
"91",75600,"Apartment","2 ",645,"SOL Golf Views"," Dubai Production City (IMPZ)","Premium"
"92",250000,"Apartment","3 ",1727,"5242"," Dubai Marina","Premium"
"93",31000,"Apartment","1 ",842," Skycourts Towers"," Dubai Land","Premium"
"94",140000,"Apartment","2 ",1326,"Orra Marina"," Dubai Marina","Premium"
"95",57000,"Apartment","1 ",713,"The Wings"," Arjan","Premium"
"96",42000,"Apartment","1 ",655,"Binghatti Mirage"," Jumeirah Village Circle","Premium"
"97",115000,"Apartment","2 ",1634," Mohammad Bin Rashid Boulevard"," Downtown Dubai","Premium"
"98",178000,"Apartment","1 ",1173," Burj Khalifa Area"," Downtown Dubai","Premium"
"99",1100000,"Apartment","3 ",4614,"Seventh Heaven"," Al Barari","Premium"
"100",49000,"Apartment","1 ",957," Tuscan Residences"," Jumeirah Village Circle","Premium"
"101",72000,"Apartment","2 ",730,"Collective"," Dubai Hills Estate","Premium"
"102",365000,"Apartment","2 ",1329," The Address Sky View Towers"," Downtown Dubai","Premium"
"103",140000,"Apartment","1 ",1387,"Azure Residences"," Palm Jumeirah","Premium"
"104",55000,"Apartment","1 ",485,"Collective"," Dubai Hills Estate","Premium"
"105",120000,"Apartment","2 ",1555,"Dubai Creek Residence Tower 2 South"," Dubai Creek Harbour (The Lagoons)","Premium"
"106",75000,"Apartment","1 ",815," Belgravia"," Jumeirah Village Circle","Premium"
"107",5e+05,"Apartment","4 ",2816," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"108",43000,"Apartment","studio ",502," Belgravia"," Jumeirah Village Circle","Premium"
"109",3e+05,"Apartment","3 ",1758,"5242"," Dubai Marina","Premium"
"110",95000,"Apartment","1 ",737,"Continental Tower"," Dubai Marina","Premium"
"111",36000,"Apartment","1 ",749,"National Bonds Oasis"," Dubai Silicon Oasis","Premium"
"112",180000,"Apartment","3 ",2124,"23 Marina"," Dubai Marina","Premium"
"113",87000,"Apartment","1 ",758," La Mer"," Jumeirah","Premium"
"114",105000,"Apartment","1 ",948," The Residences"," Downtown Dubai","Premium"
"115",105000,"Apartment","1 ",972," Zanzebeel"," Old Town","Premium"
"116",60000,"Apartment","1 ",749,"Bloom Heights"," Jumeirah Village Circle","Premium"
"117",65000,"Apartment","1 ",725,"Creek Gate"," Dubai Creek Harbour (The Lagoons)","Premium"
"118",110000,"Apartment","1 ",787," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"119",71000,"Apartment","1 ",726,"The cove"," Dubai Creek Harbour (The Lagoons)","Premium"
"120",73000,"Apartment","2 ",726,"Collective"," Dubai Hills Estate","Premium"
"121",135000,"Apartment","2 ",1405," Rimal"," Jumeirah Beach Residence","Premium"
"122",140000,"Apartment","1 ",1158," Anantara Residences"," Palm Jumeirah","Premium"
"123",80000,"Apartment","studio ",690,"Marquise Square Tower"," Business Bay","Premium"
"124",39000,"Apartment","2 ",1000," Al Qusais Residential Area"," Al Qusais","Premium"
"125",320000,"Apartment","3 ",2780," The Crescent"," Palm Jumeirah","Premium"
"126",60000,"Apartment","studio ",435,"DAMAC Maison Canal Views"," Business Bay","Premium"
"127",80000,"Apartment","studio ",655,"SLS Dubai Hotel & Residences"," Business Bay","Premium"
"128",210000,"Apartment","2 ",1717," Burj Khalifa Area"," Downtown Dubai","Premium"
"129",265000,"Apartment","3 ",1804,"Downtown Views"," Downtown Dubai","Premium"
"130",110000,"Apartment","1 ",915," South Ridge"," Downtown Dubai","Premium"
"131",57000,"Apartment","1 ",713,"The Wings"," Arjan","Premium"
"132",64900,"Apartment","1 ",837,"The cove"," Dubai Creek Harbour (The Lagoons)","Premium"
"133",75000,"Apartment","1 ",898,"Park View Tower"," Jumeirah Village Circle","Premium"
"134",56000,"Apartment","1 ",637,"Binghatti Mirage"," Jumeirah Village Circle","Premium"
"135",150000,"Apartment","2 ",1558," The Hills C"," The Hills","Premium"
"136",NA,"Apartment","1 ",785,"Wilton Terraces 1"," Mohammed Bin Rashid City","Premium"
"137",55000,"Apartment","1 ",729,"Bloom Heights"," Jumeirah Village Circle","Premium"
"138",210000,"Apartment","3 ",1890,"The cove"," Dubai Creek Harbour (The Lagoons)","Premium"
"139",32000,"Apartment","studio ",405," The Drive"," DAMAC Hills","Premium"
"140",43000,"Apartment","1 ",1007," Emirates Gardens 1"," Jumeirah Village Circle","Premium"
"141",315000,"Apartment","3 ",2279," Oceana"," Palm Jumeirah","Premium"
"142",1300000,"Apartment","4 ",2468," Bluewaters Residences"," Bluewaters","Premium"
"143",30000,"Apartment","studio ",337,"O2 Tower"," Jumeirah Village Circle","Premium"
"144",117000,"Apartment","1 ",1092," The Residences"," Downtown Dubai","Premium"
"145",40000,"Apartment","1 ",644,"Binghatti Gate"," Jumeirah Village Circle","Premium"
"146",68000,"Apartment","1 ",736,"Beverly Residence"," Jumeirah Village Circle","Premium"
"147",173000,"Apartment","2 ",1391," Burj Vista"," Downtown Dubai","Premium"
"148",30000,"Apartment","studio ",468," Elite Sports Residence"," Dubai Sports City","Premium"
"149",179000,"Apartment","2 ",1351," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"150",115000,"Apartment","1 ",833," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"151",175000,"Apartment","3 ",2230,"Burj Al Salam"," Sheikh Zayed Road","Premium"
"152",55000,"Apartment","1 ",831," District 18"," Jumeirah Village Circle","Premium"
"153",55000,"Apartment","1 ",856,"Vincitore Boulevard"," Arjan","Premium"
"154",60000,"Apartment","studio ",659,"Marquise Square Tower"," Business Bay","Premium"
"155",249000,"Apartment","2 ",1921," Kingdom of Sheba"," Palm Jumeirah","Premium"
"156",60000,"Apartment","1 ",789,"Nimir Building"," Barsha Heights (Tecom)","Premium"
"157",86000,"Apartment","2 ",1200,"Nimir Building"," Barsha Heights (Tecom)","Premium"
"158",44999,"Apartment","1 ",931,"Building 88"," Arjan","Premium"
"159",90000,"Apartment","1 ",741,"Burj Al Salam"," Sheikh Zayed Road","Premium"
"160",50000,"Apartment","1 ",995,"Laya Residences"," Jumeirah Village Circle","Premium"
"161",38000,"Apartment","1 ",743," La Riviera Estate"," Jumeirah Village Circle","Premium"
"162",NA,"Apartment","2 ",1600," Shoreline Apartments"," Palm Jumeirah","Premium"
"163",150000,"Apartment","2 ",1525,"Cayan Tower"," Dubai Marina","Premium"
"164",55000,"Apartment","1 ",831," District 18"," Jumeirah Village Circle","Premium"
"165",125000,"Apartment","2 ",1336,"Burj Al Salam"," Sheikh Zayed Road","Premium"
"166",40000,"Apartment","1 ",746,"Lincoln Park"," Arjan","Premium"
"167",650000,"Apartment","5 ",7172,"Trident Bayside"," Dubai Marina","Premium"
"168",220000,"Apartment","1 ",1064,"The Palm Tower"," Palm Jumeirah","Premium"
"169",80000,"Apartment","3 ",1408," Zahra Apartments"," Town Square","Premium"
"170",150000,"Apartment","2 ",1411," Boulevard Central Towers"," Downtown Dubai","Premium"
"171",33000,"Apartment","studio ",467," District 13"," Jumeirah Village Circle","Premium"
"172",110000,"Apartment","2 ",1402,"Zaya Hameni"," Jumeirah Village Circle","Premium"
"173",43000,"Apartment","studio ",384,"Oxford Boulevard"," Jumeirah Village Circle","Premium"
"174",185000,"Apartment","2 ",1551," Shoreline Apartments"," Palm Jumeirah","Premium"
"175",150000,"Apartment","3 ",2085," The Waves"," Dubai Marina","Premium"
"176",219999,"Apartment","2 ",1217,"Downtown Views"," Downtown Dubai","Premium"
"177",55000,"Apartment","1 ",852,"Silicon plaza"," Barsha Heights (Tecom)","Premium"
"178",160000,"Apartment","2 ",1994," Shoreline Apartments"," Palm Jumeirah","Premium"
"179",60000,"Apartment","1 ",835,"Bloom Heights"," Jumeirah Village Circle","Premium"
"180",40000,"Apartment","1 ",1043," Emirates Gardens 1"," Jumeirah Village Circle","Premium"
"181",75000,"Apartment","1 ",709," Park Island"," Dubai Marina","Premium"
"182",130000,"Apartment","2 ",1155,"Harbour Views 1"," Dubai Creek Harbour (The Lagoons)","Premium"
"183",34999,"Apartment","studio ",477,"Vincitore Boulevard"," Arjan","Premium"
"184",75000,"Apartment","1 ",708," Lake Almas West"," Jumeirah Lake Towers","Premium"
"185",50000,"Apartment","1 ",946,"Botanica"," Jumeirah Village Circle","Premium"
"186",109000,"Apartment","2 ",1390,"Burj Al Salam"," Sheikh Zayed Road","Premium"
"187",44000,"Apartment","1 ",655,"Binghatti Mirage"," Jumeirah Village Circle","Premium"
"188",75000,"Apartment","2 ",1127," District 18"," Jumeirah Village Circle","Premium"
"189",75000,"Apartment","1 ",785,"Bayz by Danube"," Business Bay","Premium"
"190",NA,"Apartment","2 ",1472," Mankhool"," Bur Dubai","Premium"
"191",115000,"Apartment","2 ",1634," Mohammad Bin Rashid Boulevard"," Downtown Dubai","Premium"
"192",105000,"Apartment","1 ",948," The Residences"," Downtown Dubai","Premium"
"193",120000,"Apartment","1 ",823," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"194",240000,"Apartment","2 ",1430," Vida Residence"," The Hills","Premium"
"195",75000,"Apartment","2 ",1193,"Bloom Towers"," Jumeirah Village Circle","Premium"
"196",55000,"Apartment","1 ",746,"Chaimaa Premiere"," Jumeirah Village Circle","Premium"
"197",160000,"Apartment","2 ",1991," Shoreline Apartments"," Palm Jumeirah","Premium"
"198",52999,"Apartment","1 ",750,"Bloom Towers"," Jumeirah Village Circle","Premium"
"199",260000,"Apartment","3 ",2990,"Harbour Views 2"," Dubai Creek Harbour (The Lagoons)","Premium"
"200",195000,"Apartment","2 ",1525,"Cayan Tower"," Dubai Marina","Premium"
"201",90000,"Apartment","2 ",740,"Collective"," Dubai Hills Estate","Premium"
"202",58000,"Apartment","1 ",1049,"Vincitore Palacio"," Arjan","Premium"
"203",70000,"Apartment","1 ",898,"Park View Tower"," Jumeirah Village Circle","Premium"
"204",52000,"Apartment","1 ",999,"Pantheon Boulevard"," Jumeirah Village Circle","Premium"
"205",55000,"Apartment","1 ",486,"Collective"," Dubai Hills Estate","Premium"
"206",35000,"Apartment","studio ",400,"Lawnz by Danube"," International City","Premium"
"207",80000,"Apartment","1 ",827,"Bloom Heights"," Jumeirah Village Circle","Premium"
"208",194999,"Apartment","2 ",1830,"Index Tower"," DIFC","Premium"
"209",230000,"Apartment","3 ",1422," Park Heights"," Dubai Hills Estate","Premium"
"210",85000,"Apartment","1 ",751," Marina View"," Dubai Marina","Premium"
"211",170000,"Apartment","2 ",1745," Marina Residences"," Palm Jumeirah","Premium"
"212",65000,"Apartment","1 ",813," Golf Promenade"," DAMAC Hills","Premium"
"213",45000,"Apartment","studio ",473,"Park View Tower"," Jumeirah Village Circle","Premium"
"214",40000,"Apartment","studio ",472,"Park View Tower"," Jumeirah Village Circle","Premium"
"215",70000,"Apartment","2 ",1553,"Binghatti Gate"," Jumeirah Village Circle","Premium"
"216",39000,"Apartment","studio ",650," Weston Court"," Motor City","Premium"
"217",208000,"Apartment","2 ",1218,"Downtown Views"," Downtown Dubai","Premium"
"218",149999,"Apartment","1 ",731,"Vida Residence Downtown"," Downtown Dubai","Premium"
"219",30000,"Apartment","studio ",389,"Montrell"," Al Furjan","Premium"
"220",44000,"Apartment","studio ",420,"Bloom Heights"," Jumeirah Village Circle","Premium"
"221",90000,"Apartment","2 ",1166,"Bloom Heights"," Jumeirah Village Circle","Premium"
"222",185000,"Apartment","2 ",1866,"Index Tower"," DIFC","Premium"
"223",40000,"Apartment","1 ",922," Tuscan Residences"," Jumeirah Village Circle","Premium"
"224",190000,"Apartment","2 ",1313,"Downtown Views"," Downtown Dubai","Premium"
"225",48000,"Apartment","1 ",885," District 13"," Jumeirah Village Circle","Premium"
"226",29999,"Apartment","studio ",535," Elite Sports Residence"," Dubai Sports City","Premium"
"227",60000,"Apartment","studio ",659,"Marquise Square Tower"," Business Bay","Premium"
"228",249000,"Apartment","2 ",1921," Kingdom of Sheba"," Palm Jumeirah","Premium"
"229",60000,"Apartment","1 ",789,"Nimir Building"," Barsha Heights (Tecom)","Premium"
"230",86000,"Apartment","2 ",1200,"Nimir Building"," Barsha Heights (Tecom)","Premium"
"231",44999,"Apartment","1 ",931,"Building 88"," Arjan","Premium"
"232",90000,"Apartment","1 ",741,"Burj Al Salam"," Sheikh Zayed Road","Premium"
"233",120000,"Apartment","2 ",1258,"The Torch"," Dubai Marina","Premium"
"234",50000,"Apartment","1 ",995,"Laya Residences"," Jumeirah Village Circle","Premium"
"235",37999,"Apartment","studio ",500," Azizi Residence"," Al Furjan","Premium"
"236",46000,"Apartment","1 ",613,"Binghatti Mirage"," Jumeirah Village Circle","Premium"
"237",38000,"Apartment","1 ",743," La Riviera Estate"," Jumeirah Village Circle","Premium"
"238",75000,"Apartment","1 ",672,"Bloom Towers"," Jumeirah Village Circle","Premium"
"239",NA,"Apartment","2 ",1600," Shoreline Apartments"," Palm Jumeirah","Premium"
"240",150000,"Apartment","2 ",1525,"Cayan Tower"," Dubai Marina","Premium"
"241",80000,"Apartment","2 ",731,"Collective"," Dubai Hills Estate","Premium"
"242",55000,"Apartment","1 ",831," District 18"," Jumeirah Village Circle","Premium"
"243",119990,"Apartment","1 ",1189," Emaar 6 Towers"," Dubai Marina","Premium"
"244",60000,"Apartment","studio ",419," Marina View"," Dubai Marina","Premium"
"245",125000,"Apartment","2 ",1336,"Burj Al Salam"," Sheikh Zayed Road","Premium"
"246",40000,"Apartment","1 ",746,"Lincoln Park"," Arjan","Premium"
"247",245000,"Apartment","3 ",2362," BLVD Heights"," Downtown Dubai","Premium"
"248",650000,"Apartment","5 ",7172,"Trident Bayside"," Dubai Marina","Premium"
"249",70000,"Apartment","studio ",440," Lake Almas East"," Jumeirah Lake Towers","Premium"
"250",38000,"Apartment","studio ",534,"Dezire Residences"," Jumeirah Village Circle","Premium"
"251",90000,"Apartment","1 ",708," Bay Central"," Dubai Marina","Premium"
"252",44000,"Apartment","studio ",395,"Bloom Heights"," Jumeirah Village Circle","Premium"
"253",130000,"Apartment","2 ",1283," Bellevue Towers"," Downtown Dubai","Premium"
"254",120000,"Apartment","1 ",761,"Cayan Tower"," Dubai Marina","Premium"
"255",299999,"Apartment","2 ",1420," Marina Gate"," Dubai Marina","Premium"
"256",47999,"Apartment","studio ",407,"Bayz by Danube"," Business Bay","Premium"
"257",95000,"Apartment","2 ",1103,"Creek Rise"," Dubai Creek Harbour (The Lagoons)","Premium"
"258",35000,"Apartment","studio ",478,"Vincitore Boulevard"," Arjan","Premium"
"259",140000,"Apartment","2 ",1588," Shoreline Apartments"," Palm Jumeirah","Premium"
"260",58000,"Apartment","studio ",531," Jumeirah Bay Towers"," Jumeirah Lake Towers","Premium"
"261",70000,"Apartment","1 ",870," Belgravia"," Jumeirah Village Circle","Premium"
"262",36000,"Apartment","studio ",400,"Oxford Boulevard"," Jumeirah Village Circle","Premium"
"263",42000,"Apartment","1 ",742," Glitz"," Dubai Studio City","Premium"
"264",17000,"Apartment","studio ",270," Al Ras"," Deira","Premium"
"265",90000,"Apartment","2 ",1115,"Creek Gate"," Dubai Creek Harbour (The Lagoons)","Premium"
"266",36999,"Apartment","studio ",467," District 13"," Jumeirah Village Circle","Premium"
"267",35000,"Apartment","studio ",467," District 13"," Jumeirah Village Circle","Premium"
"268",37999,"Apartment","studio ",397,"Signature Livings"," Jumeirah Village Circle","Premium"
"269",149999,"Apartment","1 ",731,"Vida Residence Downtown"," Downtown Dubai","Premium"
"270",180000,"Apartment","2 ",1758," Burj Khalifa Area"," Downtown Dubai","Premium"
"271",325000,"Apartment","2 ",1496," The Address Residence Fountain Views"," Downtown Dubai","Premium"
"272",34000,"Apartment","studio ",474,"Vincitore Boulevard"," Arjan","Premium"
"273",43000,"Apartment","1 ",673," Glitz"," Dubai Studio City","Premium"
"274",299999,"Apartment","2 ",1543," The Address Sky View Towers"," Downtown Dubai","Premium"
"275",110000,"Apartment","1 ",867," BLVD Heights"," Downtown Dubai","Premium"
"276",47999,"Apartment","1 ",825," District 13"," Jumeirah Village Circle","Premium"
"277",395000,"Apartment","4 ",4042,"Limestone House"," DIFC","Premium"
"278",33000,"Apartment","studio ",401,"Plaza Residences"," Jumeirah Village Circle","Premium"
"279",70000,"Apartment","1 ",754,"Bloom Heights"," Jumeirah Village Circle","Premium"
"280",32000,"Apartment","studio ",377,"Bloom Towers"," Jumeirah Village Circle","Premium"
"281",66000,"Apartment","1 ",790,"Eaton Place"," Jumeirah Village Circle","Premium"
"282",72000,"Apartment","1 ",749,"Bloom Heights"," Jumeirah Village Circle","Premium"
"283",56000,"Apartment","1 ",1222,"Laya Residences"," Jumeirah Village Circle","Premium"
"284",179999,"Apartment","2 ",1542," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"285",72999,"Apartment","1 ",824," Belgravia"," Jumeirah Village Circle","Premium"
"286",550000,"Apartment","3 ",1919," The Address Jumeirah Resort and Spa"," Jumeirah Beach Residence","Premium"
"287",70000,"Apartment","1 ",714,"Beverly Residence"," Jumeirah Village Circle","Premium"
"288",44000,"Apartment","studio ",617,"Zaya Hameni"," Jumeirah Village Circle","Premium"
"289",31000,"Apartment","studio ",427,"Jasmine"," DAMAC Hills","Premium"
"290",156000,"Apartment","2 ",1474," Bahar"," Jumeirah Beach Residence","Premium"
"291",76000,"Apartment","1 ",745,"Bloom Heights"," Jumeirah Village Circle","Premium"
"292",38000,"Apartment","1 ",504," Al Ramth"," Remraam","Premium"
"293",240000,"Apartment","2 ",1288," EMAAR Beachfront"," Dubai Harbour","Premium"
"294",112500,"Apartment","1 ",891,"Index Tower"," DIFC","Premium"
"295",NA,"Apartment","2 ",1602," Mankhool"," Bur Dubai","Premium"
"296",57999,"Apartment","2 ",1211,"The Manhattan Tower"," Jumeirah Village Circle","Premium"
"297",NA,"Apartment","1 ",953," Mankhool"," Bur Dubai","Premium"
"298",38000,"Apartment","1 ",761,"Sapphire Oasis"," Dubai Silicon Oasis","Premium"
"299",305000,"Apartment","3 ",1804,"Downtown Views"," Downtown Dubai","Premium"
"300",48000,"Apartment","studio ",361,"Oxford Boulevard"," Jumeirah Village Circle","Premium"
"301",108000,"Apartment","2 ",1313," The Waves"," Dubai Marina","Premium"
"302",70000,"Apartment","1 ",785,"Wilton Terraces 1"," Mohammed Bin Rashid City","Premium"
"303",52000,"Apartment","1 ",999,"Pantheon Boulevard"," Jumeirah Village Circle","Premium"
"304",55000,"Apartment","1 ",486,"Collective"," Dubai Hills Estate","Premium"
"305",35000,"Apartment","studio ",400,"Lawnz by Danube"," International City","Premium"
"306",65000,"Apartment","1 ",725,"Creek Gate"," Dubai Creek Harbour (The Lagoons)","Premium"
"307",1e+05,"Apartment","1 ",1042," The Old Town Island"," Old Town","Premium"
"308",80000,"Apartment","1 ",827,"Bloom Heights"," Jumeirah Village Circle","Premium"
"309",194999,"Apartment","2 ",1830,"Index Tower"," DIFC","Premium"
"310",60000,"Apartment","1 ",493," Sobha Hartland"," Mohammed Bin Rashid City","Premium"
"311",230000,"Apartment","3 ",1422," Park Heights"," Dubai Hills Estate","Premium"
"312",90000,"Apartment","2 ",1126," Creekside 18"," Dubai Creek Harbour (The Lagoons)","Premium"
"313",33999,"Apartment","studio ",482,"Plaza Residences"," Jumeirah Village Circle","Premium"
"314",85000,"Apartment","1 ",751," Marina View"," Dubai Marina","Premium"
"315",90000,"Apartment","1 ",960,"Elite Residence"," Dubai Marina","Premium"
"316",170000,"Apartment","2 ",1745," Marina Residences"," Palm Jumeirah","Premium"
"317",65000,"Apartment","1 ",813," Golf Promenade"," DAMAC Hills","Premium"
"318",45000,"Apartment","studio ",473,"Park View Tower"," Jumeirah Village Circle","Premium"
"319",40000,"Apartment","studio ",472,"Park View Tower"," Jumeirah Village Circle","Premium"
"320",260000,"Apartment","2 ",1716," Burj Khalifa Area"," Downtown Dubai","Premium"
